"_id","name","lastSale","markeCap","ipoYear","sector","industry","summary",
"TSE","Trinseo S.A.","68","$2.98B","2014","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/tse",
"TPVG","TriplePoint Venture Growth BDC Corp.","13.08","$209.52M","2014","n/a","n/a","http://www.nasdaq.com/symbol/tpvg",
"TPVY","TriplePoint Venture Growth BDC Corp.","25.38","n/a","2017","n/a","n/a","http://www.nasdaq.com/symbol/tpvy",
"GTS","Triple-S Management Corporation","24.44","$597.44M","2007","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/gts",
"TRTN","Triton International Limited","32.01","$1.07B","2016","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/trtn",
"TGI","Triumph Group, Inc.","27.9","$1.38B","1996","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/tgi",
"TROX","Tronox Limited","22.96","$2.73B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/trox",
"TBI","TrueBlue, Inc.","20.9","$877.84M","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/tbi",
"TNP","Tsakos Energy Navigation Ltd","4.45","$376.32M","2002","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/tnp",
"TNP^B","Tsakos Energy Navigation Ltd","25.7","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tnp^b",
